,delta_time
2572,16
2573,6
2574,8
2575,20
2576,8
2577,8
2578,181
2579,10
2580,14
2581,18
2582,6
2583,9
2584,9
2585,7
2586,8
2587,6
2588,22
2589,13
2590,10
2591,20
2592,10
2593,20
2594,15
2595,15
2596,17
2597,9
2598,14
2599,24
2600,23
2601,10
2602,3
2603,14
2604,44
2605,10
2606,3
2607,9
2608,16
2609,9
2610,14
2611,16
2612,13
2613,47
2614,6
2615,17
2616,5
2617,13
2618,7
2619,6
2620,14
2621,13
2622,6
2623,7
2624,11
2625,10
2626,2
2627,7
2628,8
2629,5
2630,6
2631,6
2632,7
2633,15
2634,9
2635,12
2636,4
2637,20
2638,5
2639,15
2640,8
2641,23
2642,19
2643,14
2644,12
2645,5
2646,5
2647,16
2648,6
2649,6
2650,12
2651,26
2652,9
2653,9
2654,26
2655,13
2656,9
2657,9
2658,12
2659,9
2660,12
2661,12
2662,7
2663,13
2664,8
2665,15
2666,16
2667,3
2668,7
2669,18
2670,8
2671,6
2672,9
2673,14
2674,13
2675,33
2676,16
2677,6
2678,6
2679,43
2680,8
2681,19
2682,12
2683,5
2684,13
2685,12
2686,5
2687,7
2688,12
2689,7
2690,9
2691,8
2692,6
2693,19
2694,7
2695,12
2696,7
2697,12
2698,7
2699,6
2700,7
2701,12
2702,3
2703,8
2704,21
2705,5
2706,13
2707,8
2708,7
2709,18
2710,11
2711,8
2712,18
2713,14
2714,6
2715,11
2716,5
2717,5
2718,13
2719,27
2720,12
2721,12
2722,6
2723,21
2724,15
2725,11
2726,13
2727,42
2728,9
2729,21
2730,12
2731,11
2732,8
2733,6
2734,19
2735,13
2736,12
2737,7
2738,14
2739,5
2740,11
2741,13
2742,5
2743,12
2744,14
2745,20
2746,12
2747,13
2748,19
2749,12
2750,6
2751,19
2752,18
2753,14
2754,12
2755,5
2756,7
2757,11
2758,14
2759,6
2760,14
2761,6
2762,8
2763,27
2764,13
2765,6
2766,20
2767,21
2768,13
2769,11
2770,11
2771,17
2772,7
2773,17
2774,17
2775,10
2776,10
2777,4
2778,6
2779,25
2780,19
2781,13
2782,10
2783,7
2784,10
2785,14
2786,35
2787,10
2788,10
2789,11
2790,17
2791,10
2792,13
2793,4
2794,13
2795,29
2796,6
2797,13
2798,12
2799,14
2800,12
2801,17
2802,14
2803,5
2804,10
2805,11
2806,6
2807,25
2808,10
2809,13
2810,5
2811,7
2812,17
2813,10
2814,6
2815,19
2816,12
2817,13
2818,14
2819,10
2820,11
2821,14
2822,10
2823,12
2824,11
2825,17
2826,19
2827,12
2828,20
2829,14
2830,43
2831,19
2832,18
2833,11
2834,10
2835,10
2836,40
2837,27
2838,10
2839,12
2840,11
2841,8
2842,12
2843,11
2844,24
2845,6
2846,10
2847,12
2848,17
2849,18
2850,12
2851,10
2852,12
2853,18
2854,16
2855,9
2856,10
2857,6
2858,31
2859,18
2860,23
2861,5
2862,4
2863,10
2864,13
2865,10
2866,13
2867,12
2868,11
2869,18
2870,19
2871,10
2872,5
2873,32
2874,19
2875,13
2876,9
2877,10
2878,10
2879,10
2880,10
2881,20
2882,11
2883,15
2884,6
2885,7
2886,9
2887,17
2888,6
2889,10
2890,6
2891,5
2892,14
2893,6
2894,7
2895,23
2896,10
2897,28
2898,10
2899,30
2900,12
2901,11
2902,18
2903,9
2904,12
2905,6
2906,13
2907,6
2908,9
2909,9
2910,8
2911,19
2912,16
2913,5
2914,8
2915,4
2916,16
2917,9
2918,9
2919,15
2920,9
2921,8
2922,4
2923,15
2924,16
2925,16
2926,23
2927,16
2928,12
2929,9
2930,11
2931,8
2932,22
2933,17
2934,5
2935,5
2936,37
2937,10
2938,22
2939,25
2940,11
2941,44
2942,10
2943,5
2944,8
2945,8
2946,8
2947,4
2948,18
2949,9
2950,5
2951,8
2952,5
2953,3
2954,8
2955,5
2956,31
2957,9
2958,5
2959,8
2960,5
2961,4
2962,29
2963,4
2964,16
2965,16
2966,16
2967,13
2968,9
2969,5
2970,17
2971,18
2972,19
2973,16
2974,15
2975,10
2976,15
2977,8
2978,14
2979,15
2980,7
2981,7
2982,7
2983,24
2984,4
2985,3
2986,24
2987,8
2988,10
2989,3
2990,3
2991,7
