,W,DDD,product_count,distance
739,30000,76800,2,0.0
740,700,4352,1,12.496662554589673
741,5050,23625,1,250.84331932677293
742,225,6300,1,0.0
743,12000,222180,2,0.0
744,200,1452,1,411.6154512055896
745,1150,5100,1,509.71874800001257
746,300,1232,1,509.71874800001257
747,1202,24288,1,507.9502231089684
748,700,31920,1,507.9502231089684
749,570,3120,1,519.3827876263183
750,100,8000,2,574.8018749064452
751,350,3192,1,668.4923052272055
752,340,1904,1,467.94359523585086
753,443,4641,1,352.6948616388172
754,4117,44100,1,506.59939477794944
755,400,1575,1,304.1889438673277
756,970,6840,1,359.66329035275345
757,300,352,1,0.0
758,562,4420,1,541.6822063502299
759,12600,75000,1,732.2759588783247
760,3250,9856,1,304.1889438673277
761,1625,12789,1,359.66329035275345
762,2500,20064,1,613.4487497701904
763,100,1040,2,304.1889438673277
764,600,13858,1,359.66329035275345
765,300,816,2,154.64374402877345
766,10100,32768,1,14.755171435480081
767,1450,9720,1,880.1016264519726
768,700,32760,1,297.3716836478293
769,442,5865,1,732.2759588783247
770,5600,33300,2,133.178646868439
771,1400,6450,2,437.34145069033497
772,23375,187308,1,421.58504333406654
773,450,38352,1,16.416588742510733
774,443,4641,1,250.84331932677293
775,700,6600,2,177.29173403803904
776,750,11400,1,509.71874800001257
777,200,2352,1,568.4353187626695
778,340,1904,1,467.94359523585086
779,1633,5202,1,573.5622381394206
780,740,3240,1,534.7609273420313
781,1300,3864,2,349.9609721310774
782,341,5760,1,725.9524143881448
783,443,4641,1,344.63648649391746
784,400,1386,1,0.0
785,100,8000,1,586.586343222632
786,3400,10336,1,352.6948616388172
787,200,25000,1,765.8982066961536
788,200,1344,1,294.2333985720693
789,340,1904,1,463.2438868540134
790,100,832,1,0.0
791,200,4500,1,85.38382681890104
792,225,6300,1,361.2135122872465
793,4350,46110,1,388.8098768134391
794,1400,14850,1,606.9884523673356
795,1500,48000,1,335.8023277392841
796,400,352,1,0.0
797,250,1512,1,343.89957688663185
798,7200,32637,1,283.57560416734526
799,525,9280,1,0.0
800,1233,13920,1,351.35137859169276
801,1000,11700,1,294.2333985720693
802,467,5130,2,283.57560416734526
803,23033,201684,1,421.58504333406654
804,1150,5100,1,0.0
805,200,1344,4,294.2333985720693
806,400,3600,2,674.301462478963
807,1800,15960,1,327.2424222742668
808,10475,45084,1,295.7474647032192
809,900,5616,2,295.7474647032192
810,12900,45000,1,0.0
811,10475,45084,1,89.74547838782331
812,7300,43750,1,1872.9946891583807
813,1400,22500,1,130.3930632382325
814,200,4500,1,574.8018749064452
815,5250,39780,1,178.10584217561896
816,902,6384,3,204.1893516756756
817,1400,5376,1,281.72754498128864
818,550,12160,1,506.10496864271505
819,500,23625,1,506.10496864271505
820,5000,16000,1,402.39893018816974
821,5600,83700,1,129.7091045360113
822,5250,39780,1,175.55082086368975
823,100,1584,1,518.5836502197499
824,9750,37260,2,294.2333985720693
825,3300,2128,2,401.2506231615751
826,200,4500,4,19.224284314864192
